case_id,n_level2_masks,level2_masks
00055F389E6088,1,mask_Level-II.nii.gz
00343DA00B8B4C,1,mask_CTVn_L2.nii.gz
006E4D14324424,1,mask_CTVn_L2.nii.gz
00E0FFF5E1513D,1,mask_CTV-Level-II.nii.gz
010D22E87B19DC,1,mask_CTV-N-L2.nii.gz
01134574EED7AA,1,mask_Level-II.nii.gz
019D7F56746439,1,mask_Level-II.nii.gz
021F28BD33402E,1,mask_CTV-N-L2.nii.gz
02301A54F7F44E,1,mask_CTVn_L2.nii.gz
0234AFAB946A3E,1,mask_CTVn_L2.nii.gz
023BDE2FB0DD87,1,mask_CTV-N-L2.nii.gz
023D67DD25AB25,1,mask_CTV-N-L2.nii.gz
02458A80354065,1,mask_Level-II.nii.gz
024F2899BB080C,1,mask_Level-II.nii.gz
0283DB2C7A6AA5,1,mask_CTVn_L2.nii.gz
0360F333D7132F,1,mask_CTV-N-L2.nii.gz
038980646DFD9B,1,mask_Level-II.nii.gz
03C277A01689C5,1,mask_Level-II.nii.gz
03EB7AA03E0C75,1,mask_CTVn_L2.nii.gz
03ED3AD5F06D3B,1,mask_CTVn_L2.nii.gz
041605802B57B3,1,mask_Level_2.nii.gz
04320EA7E49256,1,mask_Level-II.nii.gz
04421D6F2600EF,1,mask_CTVn_L2.nii.gz
0460137CE362EA,1,mask_CTV-Level-II.nii.gz
046DA42BDD8840,1,mask_CTVn_L2.nii.gz
049D6C5267DB13,1,mask_Level-II.nii.gz
04D433DB53AA1D,1,mask_CTVn_L2.nii.gz
04E7F054F6174E,1,mask_Level-II.nii.gz
051350E5E2A4E9,1,mask_Level_2.nii.gz
058C9797D6F5CC,1,mask_CTVn_L2.nii.gz
068ABC6C5C8321,1,mask_Level-II.nii.gz
06A25769E262B6,1,mask_CTVn_L2.nii.gz
06B851596F9350,1,mask_CTVn_L2.nii.gz
06CB97D35FAB22,1,mask_Level_2.nii.gz
06EFA9878E2F82,1,mask_CTV-N-L2.nii.gz
070C2C55589089,1,mask_CTVn_L2.nii.gz
0774B80D7E9701,1,mask_CTVn_L2.nii.gz
07B0D009BDEB1B,1,mask_Level-II.nii.gz
07F15870FC2506,1,mask_Level-II.nii.gz
07FBAB60EB8576,1,mask_Level-II.nii.gz
08062ECCDEC3C8,1,mask_CTVn_L2.nii.gz
081794CFCB2852,1,mask_Level-II.nii.gz
085F400D5B7124,1,mask_CTV-Level-II.nii.gz
089BDDC92A98B6,1,mask_CTVn_L2.nii.gz
08B7DEF9FDADD1,1,mask_CTV-N-L2.nii.gz
08F0012C40D62A,1,mask_Level-II.nii.gz
08F27978CE436C,1,mask_CTV-Level-II.nii.gz
08F644FE150D73,1,mask_CTV-Level-II.nii.gz
091AE3340A989D,1,mask_CTVn_L2.nii.gz
